,principal component 1,principal component 2,track_name
84,2.70778834090316,0.06894061366652257,"Etude No. 8, Op. 25 (Frédéric Chopin)"
85,-1.477935609676325,-1.0559963833401076,Breaking Bad (feat. Lil Reek)
86,-1.4713701029627144,0.25396939344725655,Up And Down
87,0.6808881272694925,-0.47331405504935137,Defender (Live)
88,-0.1511777492223618,0.9656840745022389,Big City
89,-0.7163623833951795,0.0325224169670534,Rush
90,-1.5950902291917617,1.5591780395882329,Silk & Lace
91,-1.4111898095003172,-0.6282087969882009,101 Dalmatians
92,2.9082604144207496,0.9613509160091701,Brahm's Lullaby (Instrumental Version)
93,1.114999871773014,-0.46893215208010025,Peach Tree
94,-0.5206773768218077,-0.9128131336430768,She Don't Lose (feat. YG)
95,1.4125198982865488,-1.3626377887699408,Sam Stone
